arxiv_id,entrypoint,documentclass,docclass_params,pdflatex,lualatex,xelatex,xe<>pdf,xe<>lua
2306.00883,Ryd.tex,revtex4-1,"[notitlepage,aps,prl,reprint,twocolumn,longbibliography,superscriptaddress]",0.0,0.0,0.0,False,False
2306.01358,templateArxiv.tex,article,,0.0,0.0,0.0,False,False
2306.00428,2306.00428,amsart,"[12pt, reqno]",0.0,0.0,0.0,False,False
2306.04271,main.tex,acmart,"[sigconf,authorversion,noacm]",12.0,12.0,12.0,False,False
2306.00073,anyon-dimer.tex,revtex4-2,"[prb,english,twocolumn,amsmath,amssymb,superscriptaddress]",12.0,12.0,12.0,False,False
2306.13656,main.tex,aastex631,[preprint2],0.0,0.0,0.0,False,False
2306.00417,spectral-density-arxiv.tex,revtex4-2,"[aps,pre,twocolumn,superscriptaddress,notitlepage]",0.0,0.0,0.0,False,False
2306.00474,2306.00474,amsart,"[a4paper,11pt]",0.0,0.0,0.0,False,False
2306.00010,main.tex,article,"[10pt,twocolumn,letterpaper]",0.0,0.0,0.0,False,False
2306.00222,ECJ-camera-ready.tex,article,[twoside],0.0,0.0,0.0,False,False
2306.05750,2306.05750,article,,0.0,0.0,0.0,False,False
2306.00679,2306.00679,amsart,"[reqno,11pt]",0.0,0.0,0.0,False,False
2306.01935,main.tex,oup-authoring-template,"[unnumsec,webpdf,modern,medium]",0.0,0.0,0.0,False,False
2306.00225,2306.00225,amsart,,0.0,0.0,0.0,False,False
2306.01793,mainV2.tex,article,[],0.0,12.0,12.0,False,False
2306.00641,ANA-EXOT-2018-64-PAPER.tex,atlasdoc,"[cernpreprint, atlasdraft=false, texlive=2020, UKenglish, texmf, orcidlogo]",0.0,,0.0,False,False
2306.00028,apssamp.tex,revtex4-2,"[%reprint,superscriptaddress,amsmath,amssymb,prl,floatfix,]",12.0,12.0,12.0,False,False
2306.00213,maintext.tex,article,"[11pt, a4paper]",0.0,0.0,0.0,False,False
2306.00822,IJPAM-2022-18.tex,article,"[twoside,11pt,leqno]",0.0,12.0,0.0,False,False
2306.00026,MERO_23.5.18.tex,jmlr,"[pmlr,11pt]",12.0,12.0,12.0,False,False
2306.00214,PetersenTSG_preprint2.tex,amsart,[11],0.0,0.0,0.0,False,False
2306.00442,fastBlockSBL_V8.tex,IEEEtran,"[a4paper,journal]",12.0,12.0,12.0,False,False
2306.00019,global_structure.tex,article,"[11pt,notitlepage,a4paper]",12.0,12.0,12.0,False,False
2306.01903,paperRevision1.tex,elsarticle,"[review, preprint,12pt]",0.0,0.0,0.0,False,False
2306.00489,interspeech.tex,INTERSPEECH2023,,12.0,12.0,12.0,False,False
2306.00429,agg_05-25.tex,revtex4-1,"[twocolumn,english]",0.0,12.0,12.0,False,False
2306.02984,main.tex,article,,0.0,0.0,0.0,False,False
2306.00072,main.tex,revtex4-2,"[aps, prb, amssymb, amsmath, superscriptaddress,twocolumn]",0.0,0.0,0.0,False,False
2306.01508,2306.01508,amsart,[11 pt],0.0,12.0,0.0,False,False
2306.00882,main.tex,amsart,[a4paper],12.0,12.0,12.0,False,False
2306.00278,2306.00278,amsart,"[11pt,oneside]",0.0,0.0,0.0,False,False
2306.00081,paper.tex,revtex4-2,"[%superscriptaddress,amsmath,amssymb,aps,twocolumn,floatfix,]",12.0,12.0,12.0,False,False
2306.00075,main.tex,ieeeconf,"[letterpaper, 10 pt, conference]",12.0,12.0,12.0,False,False
2306.16589,main.tex,acmart,[sigconf],0.0,0.0,0.0,False,False
2306.00285,2306.00285,article,[12pt],0.0,0.0,0.0,False,False
2306.00043,manuscript.tex,sn-jnl,"[default,iicol]",0.0,0.0,12.0,False,False
2306.00615,paper.tex,article,"[11pt,english]",0.0,12.0,12.0,False,False
2306.00249,main.tex,article,,,,12.0,False,False
2306.00420,hhkmmv-arxiv23.tex,llncs,"[runningheads,orivec,envcountsame]",12.0,12.0,12.0,False,False
2306.02145,KOSP.tex,wlscirep,"[fleqn,12pt]",12.0,12.0,12.0,False,False
2306.00282,escalera-regular.tex,cas-dc,"[a4paper,fleqn]",0.0,0.0,0.0,False,False
2306.00599,main.tex,amsart,[11pt],12.0,12.0,12.0,False,False
2306.00109,2306.00109,amsart,,0.0,0.0,0.0,False,False
2306.09084,paperAppendix.tex,article,[11pt],12.0,12.0,12.0,False,True
2306.00767,sn-article.tex,sn-jnl,"[default,pdflatex,iicol,super,sn-mathphys]",0.0,0.0,0.0,False,False
2306.00131,chahine4exoplanets.tex,mnras,"[fleqn,usenatbib,useAMS]",0.0,0.0,0.0,False,False
2306.01017,2306.01017,revtex4-2,"[aps, singlecolumn, showpacs]",0.0,0.0,0.0,False,False
2306.02692,main.tex,article,"[a4paper,11pt]",0.0,0.0,0.0,False,False
2306.06000,main.tex,article,,0.0,0.0,0.0,False,False
2306.01028,ITR.tex,llncs,[runningheads],12.0,12.0,12.0,False,False
2306.00107,neurips_main.tex,article,,12.0,12.0,12.0,False,False
2306.00563,manuscript_arXiv.tex,IEEEtran,"[journal,twoside]",12.0,12.0,12.0,False,False
2306.00138,aiptemplate.tex,revtex4-1,"[aip, reprint]",0.0,12.0,12.0,False,False
2306.04598,ISNH_AS_V3.tex,aastex631,[],0.0,0.0,0.0,False,False
2306.00590,2306.00590,amsart,"[letterpaper,12pt]",0.0,0.0,0.0,False,False
2306.01825,gravtherm_numsol_sub.tex,amsart,"[12pt, hidelinks, a4paper]",0.0,0.0,0.0,False,False
2306.00903,main.tex,amsart,"[a4,12pt]",12.0,12.0,12.0,False,False
