time,expl,nn
199,4.383620994,4.451033988
200,4.434888668,4.452065433
201,4.437493271,4.452861742
202,4.44319402,4.453669105
203,4.438278365,4.454520786
204,4.408718336,4.455386882
205,4.471050866,4.456163741
206,4.438699286,4.456964214
207,4.452491874,4.457478018
208,4.431077647,4.458292814
209,4.441160231,4.459061416
210,4.405422685,4.459706692
211,4.467106078,4.460627583
212,4.433194414,4.461215618
213,4.425361032,4.46190744
214,4.412921444,4.462528098
215,4.428179902,4.463652209
216,4.416344583,4.464392216
217,4.393237438,4.465310646
218,4.425490967,4.466233909
219,4.438798944,4.467013338
220,4.408913869,4.467858809
221,4.427340014,4.468811063
222,4.467800781,4.469594718
223,4.485397587,4.470728899
224,4.42587152,4.471521829
225,4.453705145,4.472520653
226,4.434111348,4.473614573
227,4.424044262,4.474604156
228,4.454625617,4.475531832
229,4.451532485,4.476558827
230,4.427015134,4.477433486
231,4.475068069,4.47840233
232,4.420978807,4.479616023
233,4.479112679,4.480685521
234,4.44970417,4.481757666
235,4.434186645,4.482836865
236,4.437842329,4.48399243
237,4.466338254,4.485017732
238,4.432195369,4.4861457
239,4.438230915,4.487091594
240,4.439579426,4.488142139
241,4.463530349,4.489184746
242,4.41824735,4.490115166
243,4.440117747,4.491321965
244,4.451085744,4.492076813
245,4.411194838,4.493108042
246,4.419584602,4.493904372
247,4.426610978,4.494473636
248,4.423623716,4.495416702
249,4.437239379,4.496114132
250,4.47081982,4.496769654
251,4.436784019,4.497145386
252,4.446704313,4.497507478
253,4.47126315,4.497890961
254,4.452565475,4.498056378
255,4.42831863,4.498120105
256,4.441203957,4.498351567
257,4.43229528,4.498451849
258,4.448723451,4.498454897
259,4.439318554,4.498418548
260,4.435599674,4.498259864
261,4.460387205,4.498032895
262,4.417373519,4.497828763
263,4.464284315,4.49761531
264,4.449111284,4.497221286
265,4.452011704,4.497071681
266,4.430919694,4.496625755
267,4.444422296,4.496207246
268,4.445725496,4.495860302
269,4.471276137,4.49529735
270,4.469761771,4.494807843
271,4.415803041,4.494212846
272,4.448652463,4.49371982
273,4.44775336,4.493108332
274,4.459128821,4.492699113
275,4.471729298,4.492262874
276,4.469377135,4.491664866
277,4.432020512,4.491108973
278,4.427667588,4.490552392
279,4.438084069,4.489888761
280,4.452261727,4.489244012
