arxiv_id,entrypoint,documentclass,docclass_params,20,21,23,20<>21,20<>23
2306.00819,,,,,,,False,False
2306.08248,,,,,,,False,False
2306.00441,,,,,,,True,True
2306.16386,,,,,,,True,True
2306.08421,,,,,,,True,False
2306.03237,,,,,,,False,False
2306.00022,,,,,,,False,False
2306.00210,,,,,,,False,False
2306.00479,,,,,,,False,False
2306.01799,,,,,,,False,False
2306.00706,,,,,,,False,False
2306.17583,,,,,,,True,True
2306.03987,,,,,,,False,False
2306.07988,,,,,,,False,False
2306.00533,,,,,,,True,True
2306.00365,,,,,,,False,True
2306.01085,,,,,,,True,True
2306.00161,,,,,,,True,False
2306.00159,,,,,,,True,True
2306.01629,,,,,,,False,False
2306.00991,,,,,,,True,True
2306.00166,,,,,,,True,True
2306.17541,,,,,,,False,False
2306.02033,,,,,,,False,False
2306.00569,,,,,,,False,False
2306.00135,,,,,,,True,True
2306.08367,,,,,,,False,False
2306.01441,,,,,,,False,False
2306.12056,,,,,,,True,False
2306.11627,,,,,,,True,True
2306.00103,,,,,,,False,False
2306.00331,,,,,,,False,False
2306.00900,,,,,,,False,False
2306.00558,,,,,,,True,False
2306.00104,,,,,,,True,True
2306.01842,,,,,,,False,False
2306.00158,,,,,,,False,False
2306.00193,,,,,,,True,True
2306.12200,,,,,,,True,True
2306.00167,,,,,,,False,False
2306.00160,,,,,,,True,True
2306.00194,,,,,,,False,False
2306.00156,,,,,,,True,True
2306.00397,,,,,,,False,False
2306.02434,,,,,,,True,False
2306.00363,,,,,,,False,False
2306.00337,,,,,,,False,False
2306.00308,,,,,,,False,False
2306.04132,,,,,,,True,True
2306.00762,,,,,,,False,False
2306.15076,,,,,,,False,False
2306.06698,,,,,,,False,False
2306.10503,,,,,,,True,False
2306.05217,,,,,,,True,False
2306.00557,,,,,,,True,True
2306.00133,,,,,,,True,True
